Using device: cuda, type: cuda
Model: Net(num_classes=10)
dataset=fashion | RFF | n_features=500 | sigma=5.0 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=rff_fashion_hidden_500.txt | cpu=None | model_name=RFF | use_cache=True
[Epoch 01] train_loss=1.873889 | train_acc=37.180000% | train_correct=22308 | train_total=60000 | val_loss=1.5378995 | val_acc=51.1100000% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=1.404103 | train_acc=55.635000% | train_correct=33381 | train_total=60000 | val_loss=1.3410579 | val_acc=56.6700000% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=1.264903 | train_acc=59.956667% | train_correct=35974 | train_total=60000 | val_loss=1.2566796 | val_acc=59.2200000% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=1.194206 | train_acc=62.136667% | train_correct=37282 | train_total=60000 | val_loss=1.2103550 | val_acc=60.5300000% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=1.151778 | train_acc=63.453333% | train_correct=38072 | train_total=60000 | val_loss=1.1822746 | val_acc=61.2100000% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=1.123890 | train_acc=64.160000% | train_correct=38496 | train_total=60000 | val_loss=1.1641347 | val_acc=61.7000000% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=1.104517 | train_acc=64.636667% | train_correct=38782 | train_total=60000 | val_loss=1.1518537 | val_acc=61.8400000% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=1.090439 | train_acc=64.986667% | train_correct=38992 | train_total=60000 | val_loss=1.1432295 | val_acc=62.2600000% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=1.079860 | train_acc=65.208333% | train_correct=39125 | train_total=60000 | val_loss=1.1369982 | val_acc=62.6700000% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=1.071742 | train_acc=65.393333% | train_correct=39236 | train_total=60000 | val_loss=1.1326987 | val_acc=62.7900000% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=1.065303 | train_acc=65.513333% | train_correct=39308 | train_total=60000 | val_loss=1.1293302 | val_acc=62.7500000% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=1.060094 | train_acc=65.631667% | train_correct=39379 | train_total=60000 | val_loss=1.1268700 | val_acc=62.9300000% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=1.055881 | train_acc=65.706667% | train_correct=39424 | train_total=60000 | val_loss=1.1250199 | val_acc=62.9300000% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=1.052403 | train_acc=65.765000% | train_correct=39459 | train_total=60000 | val_loss=1.1236543 | val_acc=63.0200000% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=1.049490 | train_acc=65.821667% | train_correct=39493 | train_total=60000 | val_loss=1.1227082 | val_acc=62.9700000% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=1.046971 | train_acc=65.855000% | train_correct=39513 | train_total=60000 | val_loss=1.1219292 | val_acc=63.0700000% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=1.044813 | train_acc=65.816667% | train_correct=39490 | train_total=60000 | val_loss=1.1211070 | val_acc=63.0800000% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=1.042977 | train_acc=65.913333% | train_correct=39548 | train_total=60000 | val_loss=1.1205924 | val_acc=63.1700000% | interpolacja=False | soft_intepolacja=False
