Using device: cuda, type: cuda
Model: Net(num_classes=10)
dataset=mnist | n_features=2000 | sigma=5.0 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=rff_mnist_hidden_2000.txt | cpu=None | model_name=RFF | use_cache=True
[Epoch 01] train_loss=1.662412 | train_acc=46.086667% | train_correct=27652 | train_total=60000 | val_loss=1.2824380 | val_acc=62.1000000% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=1.125443 | train_acc=68.008333% | train_correct=40805 | train_total=60000 | val_loss=1.0489316 | val_acc=69.2600000% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.952775 | train_acc=72.946667% | train_correct=43768 | train_total=60000 | val_loss=0.9496749 | val_acc=71.8700000% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.864616 | train_acc=75.200000% | train_correct=45120 | train_total=60000 | val_loss=0.8969257 | val_acc=72.9100000% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.810644 | train_acc=76.510000% | train_correct=45906 | train_total=60000 | val_loss=0.8660147 | val_acc=73.5700000% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.773982 | train_acc=77.370000% | train_correct=46422 | train_total=60000 | val_loss=0.8463654 | val_acc=74.0800000% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.747412 | train_acc=77.950000% | train_correct=46770 | train_total=60000 | val_loss=0.8336315 | val_acc=74.2200000% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.727250 | train_acc=78.413333% | train_correct=47048 | train_total=60000 | val_loss=0.8251933 | val_acc=74.3300000% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.711365 | train_acc=78.805000% | train_correct=47283 | train_total=60000 | val_loss=0.8198438 | val_acc=74.3900000% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.698558 | train_acc=79.010000% | train_correct=47406 | train_total=60000 | val_loss=0.8165462 | val_acc=74.3400000% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.688019 | train_acc=79.210000% | train_correct=47526 | train_total=60000 | val_loss=0.8144576 | val_acc=74.3900000% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.679173 | train_acc=79.418333% | train_correct=47651 | train_total=60000 | val_loss=0.8135459 | val_acc=74.3500000% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.671699 | train_acc=79.548333% | train_correct=47729 | train_total=60000 | val_loss=0.8132933 | val_acc=74.4300000% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.665218 | train_acc=79.663333% | train_correct=47798 | train_total=60000 | val_loss=0.8136235 | val_acc=74.3700000% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.659635 | train_acc=79.786667% | train_correct=47872 | train_total=60000 | val_loss=0.8145175 | val_acc=74.3100000% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.654754 | train_acc=79.853333% | train_correct=47912 | train_total=60000 | val_loss=0.8155066 | val_acc=74.2700000% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.650397 | train_acc=79.971667% | train_correct=47983 | train_total=60000 | val_loss=0.8170224 | val_acc=74.2700000% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.646540 | train_acc=80.018333% | train_correct=48011 | train_total=60000 | val_loss=0.8184439 | val_acc=74.2600000% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.643134 | train_acc=80.111667% | train_correct=48067 | train_total=60000 | val_loss=0.8200916 | val_acc=74.2000000% | interpolacja=False | soft_intepolacja=False
[Epoch 20] train_loss=0.639974 | train_acc=80.190000% | train_correct=48114 | train_total=60000 | val_loss=0.8216616 | val_acc=74.1400000% | interpolacja=False | soft_intepolacja=False
[Epoch 21] train_loss=0.637210 | train_acc=80.283333% | train_correct=48170 | train_total=60000 | val_loss=0.8236335 | val_acc=74.1500000% | interpolacja=False | soft_intepolacja=False
[Epoch 22] train_loss=0.634647 | train_acc=80.296667% | train_correct=48178 | train_total=60000 | val_loss=0.8253777 | val_acc=74.1500000% | interpolacja=False | soft_intepolacja=False
[Epoch 23] train_loss=0.632380 | train_acc=80.321667% | train_correct=48193 | train_total=60000 | val_loss=0.8272148 | val_acc=74.1500000% | interpolacja=False | soft_intepolacja=False
[Epoch 24] train_loss=0.630247 | train_acc=80.326667% | train_correct=48196 | train_total=60000 | val_loss=0.8290686 | val_acc=74.1400000% | interpolacja=False | soft_intepolacja=False
[Epoch 25] train_loss=0.628273 | train_acc=80.400000% | train_correct=48240 | train_total=60000 | val_loss=0.8307948 | val_acc=74.0700000% | interpolacja=False | soft_intepolacja=False
[Epoch 26] train_loss=0.626457 | train_acc=80.430000% | train_correct=48258 | train_total=60000 | val_loss=0.8326354 | val_acc=74.0400000% | interpolacja=False | soft_intepolacja=False
[Epoch 27] train_loss=0.624827 | train_acc=80.446667% | train_correct=48268 | train_total=60000 | val_loss=0.8343627 | val_acc=73.9800000% | interpolacja=False | soft_intepolacja=False
[Epoch 28] train_loss=0.623257 | train_acc=80.510000% | train_correct=48306 | train_total=60000 | val_loss=0.8361967 | val_acc=73.9600000% | interpolacja=False | soft_intepolacja=False
[Epoch 29] train_loss=0.621844 | train_acc=80.520000% | train_correct=48312 | train_total=60000 | val_loss=0.8379767 | val_acc=73.8900000% | interpolacja=False | soft_intepolacja=False
[Epoch 30] train_loss=0.620520 | train_acc=80.551667% | train_correct=48331 | train_total=60000 | val_loss=0.8398298 | val_acc=73.8700000% | interpolacja=False | soft_intepolacja=False
[Epoch 31] train_loss=0.619326 | train_acc=80.536667% | train_correct=48322 | train_total=60000 | val_loss=0.8415240 | val_acc=73.8000000% | interpolacja=False | soft_intepolacja=False
[Epoch 32] train_loss=0.618096 | train_acc=80.635000% | train_correct=48381 | train_total=60000 | val_loss=0.8432715 | val_acc=73.8100000% | interpolacja=False | soft_intepolacja=False
[Epoch 33] train_loss=0.617057 | train_acc=80.595000% | train_correct=48357 | train_total=60000 | val_loss=0.8448949 | val_acc=73.7600000% | interpolacja=False | soft_intepolacja=False
[Epoch 34] train_loss=0.615977 | train_acc=80.641667% | train_correct=48385 | train_total=60000 | val_loss=0.8465424 | val_acc=73.6900000% | interpolacja=False | soft_intepolacja=False
[Epoch 35] train_loss=0.615008 | train_acc=80.681667% | train_correct=48409 | train_total=60000 | val_loss=0.8481421 | val_acc=73.6200000% | interpolacja=False | soft_intepolacja=False
[Epoch 36] train_loss=0.614169 | train_acc=80.678333% | train_correct=48407 | train_total=60000 | val_loss=0.8498896 | val_acc=73.6700000% | interpolacja=False | soft_intepolacja=False
[Epoch 37] train_loss=0.613278 | train_acc=80.675000% | train_correct=48405 | train_total=60000 | val_loss=0.8514356 | val_acc=73.5500000% | interpolacja=False | soft_intepolacja=False
[Epoch 38] train_loss=0.612490 | train_acc=80.733333% | train_correct=48440 | train_total=60000 | val_loss=0.8527624 | val_acc=73.6300000% | interpolacja=False | soft_intepolacja=False
[Epoch 39] train_loss=0.611708 | train_acc=80.736667% | train_correct=48442 | train_total=60000 | val_loss=0.8544227 | val_acc=73.5700000% | interpolacja=False | soft_intepolacja=False
[Epoch 40] train_loss=0.610997 | train_acc=80.761667% | train_correct=48457 | train_total=60000 | val_loss=0.8558130 | val_acc=73.5700000% | interpolacja=False | soft_intepolacja=False
[Epoch 41] train_loss=0.610324 | train_acc=80.776667% | train_correct=48466 | train_total=60000 | val_loss=0.8573450 | val_acc=73.5200000% | interpolacja=False | soft_intepolacja=False
[Epoch 42] train_loss=0.609681 | train_acc=80.803333% | train_correct=48482 | train_total=60000 | val_loss=0.8586390 | val_acc=73.5000000% | interpolacja=False | soft_intepolacja=False
[Epoch 43] train_loss=0.609035 | train_acc=80.775000% | train_correct=48465 | train_total=60000 | val_loss=0.8598812 | val_acc=73.4800000% | interpolacja=False | soft_intepolacja=False
[Epoch 44] train_loss=0.608479 | train_acc=80.763333% | train_correct=48458 | train_total=60000 | val_loss=0.8613098 | val_acc=73.4900000% | interpolacja=False | soft_intepolacja=False
[Epoch 45] train_loss=0.607866 | train_acc=80.796667% | train_correct=48478 | train_total=60000 | val_loss=0.8626570 | val_acc=73.3700000% | interpolacja=False | soft_intepolacja=False
[Epoch 46] train_loss=0.607338 | train_acc=80.838333% | train_correct=48503 | train_total=60000 | val_loss=0.8638651 | val_acc=73.3900000% | interpolacja=False | soft_intepolacja=False
[Epoch 47] train_loss=0.606825 | train_acc=80.845000% | train_correct=48507 | train_total=60000 | val_loss=0.8649954 | val_acc=73.4100000% | interpolacja=False | soft_intepolacja=False
[Epoch 48] train_loss=0.606341 | train_acc=80.828333% | train_correct=48497 | train_total=60000 | val_loss=0.8662092 | val_acc=73.3900000% | interpolacja=False | soft_intepolacja=False
[Epoch 49] train_loss=0.605824 | train_acc=80.841667% | train_correct=48505 | train_total=60000 | val_loss=0.8673036 | val_acc=73.4000000% | interpolacja=False | soft_intepolacja=False
[Epoch 50] train_loss=0.605425 | train_acc=80.843333% | train_correct=48506 | train_total=60000 | val_loss=0.8684071 | val_acc=73.4000000% | interpolacja=False | soft_intepolacja=False
[Epoch 51] train_loss=0.604941 | train_acc=80.863333% | train_correct=48518 | train_total=60000 | val_loss=0.8695885 | val_acc=73.3300000% | interpolacja=False | soft_intepolacja=False
[Epoch 52] train_loss=0.604529 | train_acc=80.878333% | train_correct=48527 | train_total=60000 | val_loss=0.8706672 | val_acc=73.3200000% | interpolacja=False | soft_intepolacja=False
[Epoch 53] train_loss=0.604199 | train_acc=80.863333% | train_correct=48518 | train_total=60000 | val_loss=0.8716380 | val_acc=73.3100000% | interpolacja=False | soft_intepolacja=False
[Epoch 54] train_loss=0.603759 | train_acc=80.890000% | train_correct=48534 | train_total=60000 | val_loss=0.8728587 | val_acc=73.3200000% | interpolacja=False | soft_intepolacja=False
[Epoch 55] train_loss=0.603395 | train_acc=80.915000% | train_correct=48549 | train_total=60000 | val_loss=0.8737913 | val_acc=73.3400000% | interpolacja=False | soft_intepolacja=False
[Epoch 56] train_loss=0.603038 | train_acc=80.890000% | train_correct=48534 | train_total=60000 | val_loss=0.8749469 | val_acc=73.2900000% | interpolacja=False | soft_intepolacja=False
[Epoch 57] train_loss=0.602708 | train_acc=80.858333% | train_correct=48515 | train_total=60000 | val_loss=0.8757707 | val_acc=73.2700000% | interpolacja=False | soft_intepolacja=False
[Epoch 58] train_loss=0.602399 | train_acc=80.880000% | train_correct=48528 | train_total=60000 | val_loss=0.8766544 | val_acc=73.2000000% | interpolacja=False | soft_intepolacja=False
[Epoch 59] train_loss=0.602067 | train_acc=80.893333% | train_correct=48536 | train_total=60000 | val_loss=0.8777037 | val_acc=73.2100000% | interpolacja=False | soft_intepolacja=False
[Epoch 60] train_loss=0.601765 | train_acc=80.921667% | train_correct=48553 | train_total=60000 | val_loss=0.8788397 | val_acc=73.1400000% | interpolacja=False | soft_intepolacja=False
[Epoch 61] train_loss=0.601494 | train_acc=80.918333% | train_correct=48551 | train_total=60000 | val_loss=0.8795666 | val_acc=73.1400000% | interpolacja=False | soft_intepolacja=False
[Epoch 62] train_loss=0.601192 | train_acc=80.940000% | train_correct=48564 | train_total=60000 | val_loss=0.8806164 | val_acc=73.1600000% | interpolacja=False | soft_intepolacja=False
[Epoch 63] train_loss=0.600910 | train_acc=80.963333% | train_correct=48578 | train_total=60000 | val_loss=0.8814573 | val_acc=73.1700000% | interpolacja=False | soft_intepolacja=False
[Epoch 64] train_loss=0.600613 | train_acc=80.933333% | train_correct=48560 | train_total=60000 | val_loss=0.8820879 | val_acc=73.0900000% | interpolacja=False | soft_intepolacja=False
[Epoch 65] train_loss=0.600350 | train_acc=80.926667% | train_correct=48556 | train_total=60000 | val_loss=0.8830149 | val_acc=73.0000000% | interpolacja=False | soft_intepolacja=False
[Epoch 66] train_loss=0.600126 | train_acc=80.958333% | train_correct=48575 | train_total=60000 | val_loss=0.8837775 | val_acc=72.9800000% | interpolacja=False | soft_intepolacja=False
[Epoch 67] train_loss=0.599883 | train_acc=80.951667% | train_correct=48571 | train_total=60000 | val_loss=0.8845139 | val_acc=72.9500000% | interpolacja=False | soft_intepolacja=False
[Epoch 68] train_loss=0.599611 | train_acc=80.951667% | train_correct=48571 | train_total=60000 | val_loss=0.8852024 | val_acc=72.9700000% | interpolacja=False | soft_intepolacja=False
[Epoch 69] train_loss=0.599418 | train_acc=80.930000% | train_correct=48558 | train_total=60000 | val_loss=0.8860459 | val_acc=72.9500000% | interpolacja=False | soft_intepolacja=False
[Epoch 70] train_loss=0.599196 | train_acc=80.933333% | train_correct=48560 | train_total=60000 | val_loss=0.8866307 | val_acc=72.9800000% | interpolacja=False | soft_intepolacja=False
[Epoch 71] train_loss=0.599012 | train_acc=80.963333% | train_correct=48578 | train_total=60000 | val_loss=0.8875203 | val_acc=72.9600000% | interpolacja=False | soft_intepolacja=False
[Epoch 72] train_loss=0.598779 | train_acc=80.953333% | train_correct=48572 | train_total=60000 | val_loss=0.8882480 | val_acc=72.9400000% | interpolacja=False | soft_intepolacja=False
[Epoch 73] train_loss=0.598563 | train_acc=80.900000% | train_correct=48540 | train_total=60000 | val_loss=0.8889709 | val_acc=72.9100000% | interpolacja=False | soft_intepolacja=False
[Epoch 74] train_loss=0.598372 | train_acc=80.925000% | train_correct=48555 | train_total=60000 | val_loss=0.8895103 | val_acc=72.9200000% | interpolacja=False | soft_intepolacja=False
[Epoch 75] train_loss=0.598196 | train_acc=80.970000% | train_correct=48582 | train_total=60000 | val_loss=0.8902638 | val_acc=72.8900000% | interpolacja=False | soft_intepolacja=False
[Epoch 76] train_loss=0.597970 | train_acc=80.966667% | train_correct=48580 | train_total=60000 | val_loss=0.8909726 | val_acc=72.8800000% | interpolacja=False | soft_intepolacja=False
[Epoch 77] train_loss=0.597834 | train_acc=80.941667% | train_correct=48565 | train_total=60000 | val_loss=0.8916053 | val_acc=72.8600000% | interpolacja=False | soft_intepolacja=False
[Epoch 78] train_loss=0.597617 | train_acc=80.971667% | train_correct=48583 | train_total=60000 | val_loss=0.8921678 | val_acc=72.9200000% | interpolacja=False | soft_intepolacja=False
[Epoch 79] train_loss=0.597462 | train_acc=80.956667% | train_correct=48574 | train_total=60000 | val_loss=0.8928304 | val_acc=72.8700000% | interpolacja=False | soft_intepolacja=False
[Epoch 80] train_loss=0.597260 | train_acc=80.998333% | train_correct=48599 | train_total=60000 | val_loss=0.8934137 | val_acc=72.8400000% | interpolacja=False | soft_intepolacja=False
[Epoch 81] train_loss=0.597111 | train_acc=80.953333% | train_correct=48572 | train_total=60000 | val_loss=0.8938973 | val_acc=72.9000000% | interpolacja=False | soft_intepolacja=False
[Epoch 82] train_loss=0.596978 | train_acc=80.953333% | train_correct=48572 | train_total=60000 | val_loss=0.8946900 | val_acc=72.8500000% | interpolacja=False | soft_intepolacja=False
[Epoch 83] train_loss=0.596838 | train_acc=80.948333% | train_correct=48569 | train_total=60000 | val_loss=0.8951624 | val_acc=72.8600000% | interpolacja=False | soft_intepolacja=False
[Epoch 84] train_loss=0.596666 | train_acc=80.948333% | train_correct=48569 | train_total=60000 | val_loss=0.8957223 | val_acc=72.7900000% | interpolacja=False | soft_intepolacja=False
[Epoch 85] train_loss=0.596488 | train_acc=81.006667% | train_correct=48604 | train_total=60000 | val_loss=0.8963183 | val_acc=72.7800000% | interpolacja=False | soft_intepolacja=False
[Epoch 86] train_loss=0.596366 | train_acc=81.031667% | train_correct=48619 | train_total=60000 | val_loss=0.8968476 | val_acc=72.8200000% | interpolacja=False | soft_intepolacja=False
[Epoch 87] train_loss=0.596224 | train_acc=80.985000% | train_correct=48591 | train_total=60000 | val_loss=0.8972757 | val_acc=72.7900000% | interpolacja=False | soft_intepolacja=False
[Epoch 88] train_loss=0.596025 | train_acc=81.030000% | train_correct=48618 | train_total=60000 | val_loss=0.8978184 | val_acc=72.8200000% | interpolacja=False | soft_intepolacja=False
[Epoch 89] train_loss=0.595932 | train_acc=80.988333% | train_correct=48593 | train_total=60000 | val_loss=0.8982010 | val_acc=72.8300000% | interpolacja=False | soft_intepolacja=False
[Epoch 90] train_loss=0.595800 | train_acc=80.958333% | train_correct=48575 | train_total=60000 | val_loss=0.8988458 | val_acc=72.7700000% | interpolacja=False | soft_intepolacja=False
[Epoch 91] train_loss=0.595654 | train_acc=81.011667% | train_correct=48607 | train_total=60000 | val_loss=0.8991532 | val_acc=72.7600000% | interpolacja=False | soft_intepolacja=False
[Epoch 92] train_loss=0.595554 | train_acc=80.995000% | train_correct=48597 | train_total=60000 | val_loss=0.8997798 | val_acc=72.8100000% | interpolacja=False | soft_intepolacja=False
[Epoch 93] train_loss=0.595400 | train_acc=80.998333% | train_correct=48599 | train_total=60000 | val_loss=0.9002172 | val_acc=72.7000000% | interpolacja=False | soft_intepolacja=False
[Epoch 94] train_loss=0.595271 | train_acc=81.028333% | train_correct=48617 | train_total=60000 | val_loss=0.9005537 | val_acc=72.7000000% | interpolacja=False | soft_intepolacja=False
[Epoch 95] train_loss=0.595182 | train_acc=80.975000% | train_correct=48585 | train_total=60000 | val_loss=0.9010885 | val_acc=72.7300000% | interpolacja=False | soft_intepolacja=False
[Epoch 96] train_loss=0.595064 | train_acc=80.995000% | train_correct=48597 | train_total=60000 | val_loss=0.9013951 | val_acc=72.7500000% | interpolacja=False | soft_intepolacja=False
[Epoch 97] train_loss=0.594948 | train_acc=80.985000% | train_correct=48591 | train_total=60000 | val_loss=0.9016866 | val_acc=72.7500000% | interpolacja=False | soft_intepolacja=False
[Epoch 98] train_loss=0.594812 | train_acc=81.028333% | train_correct=48617 | train_total=60000 | val_loss=0.9023305 | val_acc=72.7400000% | interpolacja=False | soft_intepolacja=False
[Epoch 99] train_loss=0.594759 | train_acc=81.005000% | train_correct=48603 | train_total=60000 | val_loss=0.9027028 | val_acc=72.7400000% | interpolacja=False | soft_intepolacja=False
[Epoch 100] train_loss=0.594620 | train_acc=81.021667% | train_correct=48613 | train_total=60000 | val_loss=0.9030139 | val_acc=72.7000000% | interpolacja=False | soft_intepolacja=False
[Epoch 101] train_loss=0.594549 | train_acc=81.013333% | train_correct=48608 | train_total=60000 | val_loss=0.9034742 | val_acc=72.6900000% | interpolacja=False | soft_intepolacja=False
[Epoch 102] train_loss=0.594410 | train_acc=81.016667% | train_correct=48610 | train_total=60000 | val_loss=0.9037363 | val_acc=72.6800000% | interpolacja=False | soft_intepolacja=False
[Epoch 103] train_loss=0.594340 | train_acc=81.030000% | train_correct=48618 | train_total=60000 | val_loss=0.9043007 | val_acc=72.6500000% | interpolacja=False | soft_intepolacja=False
[Epoch 104] train_loss=0.594238 | train_acc=81.023333% | train_correct=48614 | train_total=60000 | val_loss=0.9046235 | val_acc=72.6200000% | interpolacja=False | soft_intepolacja=False
[Epoch 105] train_loss=0.594118 | train_acc=81.041667% | train_correct=48625 | train_total=60000 | val_loss=0.9050070 | val_acc=72.6100000% | interpolacja=False | soft_intepolacja=False
[Epoch 106] train_loss=0.594039 | train_acc=81.036667% | train_correct=48622 | train_total=60000 | val_loss=0.9053775 | val_acc=72.6200000% | interpolacja=False | soft_intepolacja=False
[Epoch 107] train_loss=0.593949 | train_acc=81.013333% | train_correct=48608 | train_total=60000 | val_loss=0.9056447 | val_acc=72.7000000% | interpolacja=False | soft_intepolacja=False
[Epoch 108] train_loss=0.593860 | train_acc=81.046667% | train_correct=48628 | train_total=60000 | val_loss=0.9059454 | val_acc=72.6900000% | interpolacja=False | soft_intepolacja=False
[Epoch 109] train_loss=0.593790 | train_acc=81.030000% | train_correct=48618 | train_total=60000 | val_loss=0.9063674 | val_acc=72.6100000% | interpolacja=False | soft_intepolacja=False
[Epoch 110] train_loss=0.593703 | train_acc=81.028333% | train_correct=48617 | train_total=60000 | val_loss=0.9066379 | val_acc=72.6600000% | interpolacja=False | soft_intepolacja=False
[Epoch 111] train_loss=0.593578 | train_acc=81.046667% | train_correct=48628 | train_total=60000 | val_loss=0.9070235 | val_acc=72.6600000% | interpolacja=False | soft_intepolacja=False
