Using device: cuda, type: cuda
Model: Net(num_classes=10)
dataset=mnist | RFF(real-2N) | n_features(N)=7500 | output_feats=2N=15000 | sigma=10.0 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=rff_mnist_hidden_7500.txt | cpu=None | model_name=RFF | use_cache=True
[Epoch 01] train_loss=0.326998 | train_acc=90.805000% | train_correct=54483 | train_total=60000 | val_loss=0.1650952 | val_acc=95.5600000% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=0.141913 | train_acc=96.311667% | train_correct=57787 | train_total=60000 | val_loss=0.1299091 | val_acc=96.4300000% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.109255 | train_acc=97.235000% | train_correct=58341 | train_total=60000 | val_loss=0.1130682 | val_acc=96.7700000% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.090320 | train_acc=97.761667% | train_correct=58657 | train_total=60000 | val_loss=0.1034574 | val_acc=97.0500000% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.077706 | train_acc=98.196667% | train_correct=58918 | train_total=60000 | val_loss=0.0971832 | val_acc=97.2100000% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.068107 | train_acc=98.475000% | train_correct=59085 | train_total=60000 | val_loss=0.0904513 | val_acc=97.2700000% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.060633 | train_acc=98.693333% | train_correct=59216 | train_total=60000 | val_loss=0.0869549 | val_acc=97.3700000% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.054737 | train_acc=98.878333% | train_correct=59327 | train_total=60000 | val_loss=0.0837523 | val_acc=97.5400000% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.049714 | train_acc=99.016667% | train_correct=59410 | train_total=60000 | val_loss=0.0814345 | val_acc=97.5200000% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.045664 | train_acc=99.140000% | train_correct=59484 | train_total=60000 | val_loss=0.0788263 | val_acc=97.6500000% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.042019 | train_acc=99.240000% | train_correct=59544 | train_total=60000 | val_loss=0.0775507 | val_acc=97.6700000% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.038918 | train_acc=99.341667% | train_correct=59605 | train_total=60000 | val_loss=0.0755592 | val_acc=97.7400000% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.036208 | train_acc=99.430000% | train_correct=59658 | train_total=60000 | val_loss=0.0744156 | val_acc=97.7300000% | interpolacja=False | soft_intepolacja=False
